epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,9643.88,0.58508,0.36576,0.00594,0.88479,0.90612,0.93313,0.83246,0.48149,0.40748,0.00803,0.000441088,0.000441088,0.000441088
59,9810.01,0.57767,0.36498,0.00593,0.89292,0.90008,0.94176,0.84074,0.47747,0.39184,0.00794,0.000424289,0.000424289,0.000424289
60,9975.61,0.57249,0.36202,0.00585,0.90307,0.89602,0.93172,0.83265,0.47471,0.41372,0.0079,0.000407625,0.000407625,0.000407625
61,10144.6,0.57664,0.378,0.00593,0.87987,0.91266,0.93356,0.83828,0.47613,0.40423,0.00793,0.000391113,0.000391113,0.000391113
62,10312.4,0.57452,0.36313,0.00593,0.89302,0.92258,0.94027,0.8417,0.47348,0.38828,0.00789,0.000374768,0.000374768,0.000374768
63,10480.8,0.571,0.3563,0.00587,0.89648,0.92014,0.94509,0.84802,0.47137,0.39548,0.00784,0.000358607,0.000358607,0.000358607
64,10649.8,0.55618,0.353,0.00571,0.87215,0.9137,0.93565,0.83815,0.47161,0.41868,0.00784,0.000342646,0.000342646,0.000342646
65,10818,0.56405,0.35153,0.00581,0.88332,0.91515,0.93281,0.83747,0.47177,0.41242,0.00786,0.0003269,0.0003269,0.0003269
66,10986.8,0.55416,0.33862,0.00565,0.89644,0.90354,0.93665,0.83935,0.47183,0.41241,0.00785,0.000311385,0.000311385,0.000311385
67,11155.1,0.55313,0.33778,0.00562,0.87811,0.91392,0.93182,0.8358,0.46756,0.42443,0.00777,0.000296117,0.000296117,0.000296117
68,11324.1,0.54948,0.32913,0.00563,0.87984,0.92426,0.9286,0.83338,0.47049,0.44628,0.00782,0.00028111,0.00028111,0.00028111
69,11492.9,0.53989,0.32154,0.00554,0.87548,0.90767,0.9393,0.84355,0.47145,0.40814,0.00785,0.00026638,0.00026638,0.00026638
70,11661.1,0.54385,0.33289,0.00556,0.90183,0.90415,0.93883,0.84506,0.46645,0.40784,0.00777,0.00025194,0.00025194,0.00025194
71,11829.6,0.53572,0.32763,0.0055,0.90617,0.90789,0.93937,0.84361,0.46449,0.42012,0.00773,0.000237805,0.000237805,0.000237805
72,11995.8,0.53629,0.31041,0.00546,0.89597,0.8964,0.93344,0.84022,0.46533,0.43234,0.00774,0.00022399,0.00022399,0.00022399
73,12164,0.53279,0.31504,0.00535,0.8782,0.90844,0.92571,0.83067,0.46151,0.43995,0.00767,0.000210507,0.000210507,0.000210507
74,12332.6,0.52749,0.31791,0.00536,0.89525,0.92399,0.93294,0.83893,0.46398,0.42074,0.0077,0.00019737,0.00019737,0.00019737
75,12501,0.53062,0.3149,0.00546,0.90786,0.91151,0.93133,0.8391,0.45934,0.41836,0.00762,0.000184592,0.000184592,0.000184592
76,12669.3,0.52983,0.30951,0.00538,0.89558,0.91204,0.93193,0.84119,0.4599,0.43085,0.00763,0.000172185,0.000172185,0.000172185
77,12837.7,0.52403,0.30784,0.00536,0.89333,0.92713,0.93825,0.84407,0.46463,0.42291,0.00771,0.000160162,0.000160162,0.000160162
78,13006.6,0.52057,0.31315,0.0053,0.91646,0.89239,0.93736,0.84474,0.46162,0.41385,0.00768,0.000148535,0.000148535,0.000148535
79,13174.6,0.5165,0.30548,0.00521,0.89211,0.92571,0.93837,0.84849,0.45932,0.41477,0.00764,0.000137315,0.000137315,0.000137315
80,13343.7,0.51202,0.30295,0.00526,0.88756,0.92129,0.93401,0.8422,0.4622,0.43357,0.00769,0.000126513,0.000126513,0.000126513
81,13512.3,0.50433,0.29348,0.00518,0.88375,0.9091,0.93052,0.83692,0.46168,0.43056,0.00768,0.00011614,0.00011614,0.00011614
82,13680.9,0.51134,0.28377,0.00518,0.89185,0.90756,0.93196,0.83913,0.45893,0.43427,0.00762,0.000106206,0.000106206,0.000106206
83,13849.5,0.50825,0.2833,0.00514,0.8934,0.89914,0.93094,0.83884,0.46187,0.4445,0.00769,9.67211e-05,9.67211e-05,9.67211e-05
84,14018.2,0.50017,0.28434,0.00512,0.89668,0.90499,0.93046,0.83879,0.46208,0.45589,0.00768,8.76942e-05,8.76942e-05,8.76942e-05
85,14187.1,0.49625,0.28296,0.00507,0.89242,0.9073,0.92731,0.83377,0.46345,0.45734,0.00772,7.91345e-05,7.91345e-05,7.91345e-05
86,14355.2,0.50257,0.28307,0.00518,0.88236,0.91013,0.92576,0.83438,0.46381,0.46323,0.00772,7.10504e-05,7.10504e-05,7.10504e-05
87,14522.7,0.49858,0.27738,0.00505,0.88826,0.91884,0.927,0.83589,0.46094,0.45591,0.00767,6.34499e-05,6.34499e-05,6.34499e-05
88,14691.5,0.49629,0.27184,0.00505,0.88792,0.90523,0.92563,0.83202,0.46691,0.46403,0.00779,5.63404e-05,5.63404e-05,5.63404e-05
89,14860,0.49364,0.28448,0.00505,0.88179,0.92436,0.92889,0.83797,0.4616,0.4678,0.00769,4.97291e-05,4.97291e-05,4.97291e-05
90,15028.9,0.49383,0.27962,0.00506,0.8724,0.93143,0.92908,0.83766,0.46088,0.46895,0.00767,4.36223e-05,4.36223e-05,4.36223e-05
91,15197.9,0.43017,0.15745,0.00569,0.87888,0.90759,0.92278,0.83061,0.46756,0.46396,0.0078,3.80262e-05,3.80262e-05,3.80262e-05
92,15366.6,0.42267,0.15072,0.00558,0.8803,0.92112,0.92623,0.83447,0.46744,0.46581,0.00778,3.29463e-05,3.29463e-05,3.29463e-05
93,15535.2,0.42277,0.14495,0.00557,0.88444,0.92009,0.92751,0.83632,0.46554,0.46496,0.00774,2.83875e-05,2.83875e-05,2.83875e-05
94,15702.2,0.41907,0.15185,0.00556,0.88192,0.91604,0.92647,0.83549,0.46597,0.46882,0.00776,2.43545e-05,2.43545e-05,2.43545e-05
95,15869.8,0.4189,0.1517,0.00558,0.88274,0.91676,0.92511,0.83462,0.46431,0.46786,0.00773,2.0851e-05,2.0851e-05,2.0851e-05
96,16036.6,0.41478,0.14646,0.00548,0.88565,0.91597,0.92398,0.83315,0.46472,0.47136,0.00773,1.78807e-05,1.78807e-05,1.78807e-05
97,16204.2,0.41494,0.14936,0.00547,0.88107,0.91876,0.92322,0.83127,0.46388,0.46885,0.00772,1.54465e-05,1.54465e-05,1.54465e-05
98,16371.4,0.41472,0.15066,0.00545,0.88068,0.91979,0.92409,0.83245,0.46365,0.46747,0.00772,1.35507e-05,1.35507e-05,1.35507e-05
99,16539.9,0.41375,0.14987,0.00553,0.88817,0.91687,0.9255,0.83325,0.46406,0.46444,0.00772,1.21952e-05,1.21952e-05,1.21952e-05
100,16706.9,0.41311,0.14356,0.00544,0.88214,0.9223,0.9242,0.83238,0.46416,0.46583,0.00773,1.13814e-05,1.13814e-05,1.13814e-05
