epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9608.44,0.53041,0.06746,0.00553,0.89,0.90354,0.93136,0.81986,0.46737,0.06041,0.00778,0.000458006,0.000458006,0.000458006
58,9777.47,0.53293,0.06768,0.00553,0.88429,0.8917,0.93242,0.82493,0.46205,0.06523,0.00769,0.000441088,0.000441088,0.000441088
59,9946.54,0.52759,0.07156,0.00549,0.88206,0.91668,0.93472,0.82615,0.46502,0.06219,0.00774,0.000424289,0.000424289,0.000424289
60,10116,0.52621,0.06672,0.00545,0.89779,0.90504,0.93143,0.82415,0.465,0.06845,0.00772,0.000407625,0.000407625,0.000407625
61,10285,0.52284,0.0671,0.00542,0.90482,0.90436,0.93058,0.82496,0.46472,0.06548,0.00774,0.000391113,0.000391113,0.000391113
62,10454.6,0.5247,0.06661,0.00551,0.87246,0.90324,0.93898,0.82839,0.46784,0.06299,0.00778,0.000374768,0.000374768,0.000374768
63,10623.5,0.52268,0.06553,0.00546,0.91484,0.87511,0.93545,0.82831,0.46096,0.06275,0.00766,0.000358607,0.000358607,0.000358607
64,10792.9,0.50984,0.06566,0.00531,0.88379,0.91157,0.92763,0.82436,0.4644,0.07237,0.00773,0.000342646,0.000342646,0.000342646
65,10960.1,0.5097,0.06817,0.00536,0.86651,0.89394,0.92723,0.82589,0.45758,0.07026,0.00763,0.0003269,0.0003269,0.0003269
66,11129,0.50542,0.0639,0.00524,0.88958,0.89756,0.94066,0.83131,0.46333,0.0605,0.00773,0.000311385,0.000311385,0.000311385
67,11297.5,0.50028,0.0605,0.00519,0.89005,0.92121,0.94096,0.83632,0.46121,0.06508,0.00768,0.000296117,0.000296117,0.000296117
68,11467.1,0.49775,0.06057,0.0052,0.88211,0.91339,0.93316,0.8288,0.46068,0.07542,0.00767,0.00028111,0.00028111,0.00028111
69,11635.6,0.49015,0.05912,0.00511,0.87703,0.90782,0.93634,0.82821,0.46394,0.0668,0.00773,0.00026638,0.00026638,0.00026638
70,11804.4,0.48785,0.06163,0.00507,0.87123,0.91845,0.93505,0.8287,0.46116,0.06561,0.00768,0.00025194,0.00025194,0.00025194
71,11973,0.4831,0.05916,0.00504,0.88538,0.90899,0.93328,0.82649,0.46215,0.07819,0.00768,0.000237805,0.000237805,0.000237805
72,12142.6,0.48201,0.05744,0.005,0.91246,0.88068,0.9351,0.82978,0.46143,0.0755,0.00769,0.00022399,0.00022399,0.00022399
73,12310.3,0.47923,0.06066,0.00489,0.90189,0.88803,0.93189,0.8267,0.45913,0.07164,0.00764,0.000210507,0.000210507,0.000210507
74,12479,0.47555,0.05865,0.00491,0.91071,0.88645,0.93456,0.82791,0.45975,0.0726,0.00765,0.00019737,0.00019737,0.00019737
75,12647.8,0.47082,0.05758,0.00492,0.90084,0.88791,0.93282,0.82917,0.46215,0.07756,0.00769,0.000184592,0.000184592,0.000184592
76,12816.4,0.47553,0.05764,0.0049,0.89749,0.90906,0.93142,0.82524,0.46277,0.07376,0.0077,0.000172185,0.000172185,0.000172185
77,12985,0.46742,0.05682,0.00487,0.90877,0.88528,0.93173,0.82799,0.46313,0.07055,0.00771,0.000160162,0.000160162,0.000160162
